LotFrontageSF,LotAreaSF,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMaterial,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,FirstFlrSF,SecondFlrSF,GrLivArea,GarageType,GarageYrBlt,GarageCars,GarageSF,GarageQual,WoodDeckSF,OpenPorchSF,MiscFeature,SalePrice
58,8410,Single Family Detached,1.5 Story,5,3,1910,1996,Gambrel,Standard Composite Shingle,3,2,Poured Concrete,3,3,0,658,GasA,3,Yes,658,526,1184,None,1910,0,0,0,0,151,None,81000
72,7200,Single Family Detached,Split Level,6,6,1976,1976,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,631,1041,GasA,5,Yes,1125,0,1125,Detached,1977,1,352,3,296,0,None,125000
93,9382,Single Family Detached,1 Story,7,5,1999,2000,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,1468,GasA,5,Yes,1479,0,1479,Attached,1999,2,577,3,120,25,None,191000
96,12474,Single Family Detached,2 Story,10,5,2007,2008,Gable,Standard Composite Shingle,5,3,Poured Concrete,5,3,1280,1682,GasA,5,Yes,1742,590,2332,Built-In,2008,3,846,3,196,134,None,426000
50,8405,Single Family Detached,1.5 Story,5,8,1900,1950,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,4,241,861,GasA,5,Yes,961,406,1367,Detached,1978,1,384,3,0,130,None,119000
71,12209,Single Family Detached,2 Story,6,5,2001,2002,Gable,Standard Composite Shingle,3,3,Poured Concrete,5,3,690,804,GasA,5,Yes,804,1157,1961,Built-In,2001,2,560,3,125,192,None,215000
0,8339,Single Family Detached,1 Story,5,7,1959,1959,Gable,Standard Composite Shingle,3,3,Slab,0,0,0,0,GasA,3,Yes,882,0,882,Attached,1959,1,294,3,0,0,Shed,106500
0,7446,Single Family Detached,1 Story,4,5,1941,1950,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,266,788,GasA,3,Yes,788,0,788,None,1941,0,0,0,0,0,None,100000
60,10134,Single Family Detached,1.5 Story,5,6,1940,1950,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,0,735,GasA,4,Yes,735,299,1034,Detached,1940,1,240,3,0,39,None,109000
68,9571,Single Family Detached,1 Story,5,6,1956,1956,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,739,1144,GasA,3,Yes,1144,0,1144,Attached,1956,1,596,3,44,0,None,129000
60,7200,Single Family Detached,1 Story,5,5,1972,1972,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,777,894,GasA,3,Yes,894,0,894,Detached,1985,2,600,3,215,0,None,123000
69,7590,Single Family Detached,2 Story,5,5,1962,1962,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,540,864,GasA,3,Yes,876,936,1812,Attached,1962,1,264,3,0,168,None,169500
60,8967,Single Family Detached,1 Story,5,2,1920,1950,Gable,Standard Composite Shingle,3,2,Brick & Tile,2,1,0,961,GasA,4,Yes,1077,0,1077,Detached,1920,1,338,1,0,0,None,67000
65,8125,Single Family Detached,2 Story,7,5,2006,2007,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,812,1092,GasA,5,Yes,1112,438,1550,Attached,2007,2,438,3,0,168,None,241000
38,14963,Townhouse End Unit,1 Story,8,5,1996,1996,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,786,1260,GasA,5,Yes,1288,0,1288,Attached,1996,2,500,3,120,30,None,245500
65,8767,Single Family Detached,1 Story,7,5,2005,2005,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,24,1310,GasA,5,Yes,1310,0,1310,Attached,2005,2,400,3,0,0,None,164990
60,10200,Single Family Detached,1 Story,5,8,1940,1997,Gable,Standard Composite Shingle,3,3,Poured Concrete,3,3,0,672,GasA,5,Yes,672,0,672,Detached,1940,1,240,3,168,0,None,108000
93,12090,Single Family Detached,2 Story,8,5,1998,1998,Hip,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,1141,GasA,4,Yes,1165,1098,2263,Built-In,1998,2,420,3,144,123,None,258000
0,10364,Single Family Detached,2 Story,6,5,1995,1996,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,0,806,GasA,4,Yes,806,766,1572,Built-In,1995,2,373,3,0,40,None,168000
0,9991,Single Family Detached,1 Story,4,4,1976,1993,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,1116,1281,GasA,5,Yes,1620,0,1620,Attached,1993,2,490,3,120,78,None,150000
51,10480,Single Family Detached,1.5 Story,6,5,1936,1950,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,3,0,1064,GasA,5,Yes,1166,0,1639,Detached,1936,1,240,3,0,0,None,115000
63,15576,Single Family Detached,2 Story,6,7,1915,1976,Gable,Standard Composite Shingle,3,3,Brick & Tile,4,3,0,840,GasA,5,Yes,840,840,1680,Attached,1960,1,308,3,0,0,None,177000
109,14154,Single Family Detached,2 Story,7,5,2006,2006,Gable,Standard Composite Shingle,4,3,Poured Concrete,5,4,0,1063,GasA,5,Yes,1071,1101,2172,Attached,2006,3,947,3,192,62,None,280000
85,10800,Single Family Detached,2 Story,8,5,2007,2008,Gable,Standard Composite Shingle,4,3,Poured Concrete,5,3,789,1034,GasA,5,Yes,1050,1028,2078,Attached,2008,3,836,3,0,102,None,339750
68,9571,Single Family Detached,1 Story,5,3,1958,1958,Gable,Standard Composite Shingle,3,2,Cinder Block,3,2,0,1276,GasA,3,Yes,1276,0,1276,Attached,1958,1,350,3,0,0,None,60000
100,34650,Two Family Conversion,1 Story,5,5,1955,1955,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,1056,1056,GasA,3,No,1056,0,1056,Attached,1955,2,572,3,264,0,None,145000
0,4403,Single Family Detached,1 Story,7,5,2009,2009,Gable,Standard Composite Shingle,5,3,Poured Concrete,5,3,578,1470,GasA,5,Yes,1478,0,1478,Attached,2009,2,484,3,0,144,None,222000
56,8960,Single Family Detached,1 Story,5,6,1927,1950,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,0,1008,GasA,4,Yes,1028,0,1028,Detached,1927,2,360,3,0,0,None,115000
59,11228,Single Family Detached,2 Story,7,5,1993,1993,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,50,1080,GasA,5,Yes,1080,1017,2097,Attached,1993,3,678,3,196,187,None,228000
73,8899,Single Family Detached,1 Story,7,5,2007,2007,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,24,1340,GasA,5,Yes,1340,0,1340,Attached,2007,2,396,3,100,30,None,181134
74,7844,Single Family Detached,2 Story,6,7,1978,1978,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,209,672,GasA,3,Yes,672,728,1400,Attached,1978,2,440,3,0,0,None,149500
86,22420,Single Family Detached,2 Story,6,6,1918,1950,Hip,Standard Composite Shingle,3,3,Brick & Tile,4,3,1128,1370,GasW,3,No,1370,1254,2624,Detached,1918,3,864,3,0,0,None,239000
60,8160,Single Family Detached,1.5 Story,5,6,1940,1950,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,3,312,756,GasA,2,No,756,378,1134,Detached,1940,1,240,3,0,0,None,126000
65,8450,Single Family Detached,1 Story,5,6,1968,1968,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,775,1056,GasA,5,Yes,1056,0,1056,Attached,1968,1,304,3,0,85,None,142000
78,7060,Duplex,Split Foyer,7,5,1997,1998,Gable,Standard Composite Shingle,3,4,Poured Concrete,4,4,1309,1344,GasA,5,Yes,1344,0,1344,Attached,1997,4,784,3,0,0,None,206300
0,16635,Single Family Detached,1 Story,6,7,1977,2000,Gable,Standard Composite Shingle,4,3,Cinder Block,4,3,1246,1602,GasA,4,Yes,1602,0,1602,Attached,1977,2,529,3,240,0,None,215000
100,21750,Single Family Detached,1 Story,5,5,1954,1954,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,0,988,GasA,5,Yes,988,0,988,Attached,1954,2,520,3,0,0,None,113000
80,9200,Single Family Detached,2 Story,8,5,1998,1998,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,986,1470,GasA,4,Yes,1470,1160,2630,Attached,1998,3,696,3,0,66,None,315000
72,9000,Single Family Detached,1 Story,6,5,1956,1956,Gable,Standard Composite Shingle,3,3,Cinder Block,4,3,616,1196,GasA,4,Yes,1196,0,1196,Attached,1956,1,297,3,0,44,None,139000
60,3378,Single Family Detached,2 Story,7,8,1946,1992,Gable,Standard Composite Shingle,3,4,Cinder Block,3,3,0,651,GasA,4,Yes,707,682,1389,Detached,1947,1,240,3,0,0,None,135000
0,12800,Single Family Detached,Split Level,7,5,1989,1989,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,1518,1518,GasA,4,Yes,1644,0,1644,Attached,1989,2,569,3,80,0,None,275000
77,8593,Single Family Detached,1 Story,4,6,1957,1957,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,288,907,GasA,5,Yes,907,0,907,Detached,1964,1,352,3,0,0,None,109008
64,6762,Single Family Detached,1 Story,7,5,2007,2007,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,664,1208,GasA,5,Yes,1208,0,1208,Attached,2007,2,628,3,105,54,None,195400
130,11457,Single Family Detached,1 Story,6,5,1988,1988,Gable,Standard Composite Shingle,3,3,Cinder Block,4,3,1005,1392,GasA,3,Yes,1412,0,1412,Attached,1988,2,576,3,0,0,None,175000
21,1680,Townhouse,2 Story,6,5,1971,1971,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,387,483,GasA,3,Yes,483,504,987,Detached,1971,1,264,3,0,0,None,85400
60,5586,Single Family Detached,1.5 Story,6,7,1920,1998,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,3,0,901,GasA,4,Yes,1088,110,1198,None,1920,0,0,0,0,98,None,79900
24,1920,Townhouse End Unit,2 Story,5,5,1971,1971,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,471,765,GasA,5,Yes,765,600,1365,Detached,1971,2,440,3,240,36,None,122500
100,10839,Single Family Detached,2 Story,6,5,1997,1998,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,0,926,GasA,5,Yes,926,678,1604,Attached,1997,2,470,3,0,36,None,181000
21,1890,Townhouse,Split Foyer,4,7,1972,1972,Gable,Standard Composite Shingle,3,4,Cinder Block,4,3,495,630,GasA,4,Yes,630,0,630,None,1972,0,0,0,88,0,None,81000
43,10667,Single Family Detached,2 Story,7,6,1996,1996,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,385,799,GasA,5,Yes,827,834,1661,Attached,1996,2,550,3,158,61,None,212000
40,4400,Single Family Detached,1.5 Story,6,8,1920,1950,Gable,Standard Composite Shingle,3,3,Brick & Tile,2,3,0,648,GasA,3,Yes,734,384,1118,Detached,1990,2,440,3,0,0,None,116000
50,6000,Single Family Detached,1.5 Story,6,7,1926,2004,Gable,Standard Composite Shingle,4,3,Poured Concrete,3,3,0,884,GasA,4,Yes,904,0,904,Detached,1926,1,180,3,0,0,None,119000
40,4280,Single Family Detached,1 Story,5,6,1913,2002,Gable,Standard Composite Shingle,3,3,Poured Concrete,3,3,365,440,GasA,3,No,694,0,694,Detached,1990,1,352,4,0,0,None,90350
67,12354,Single Family Detached,1.5 Story,6,8,1920,2000,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,2,0,684,GasA,4,Yes,684,512,1196,Detached,2005,2,528,3,0,46,Shed,110000
105,15431,Single Family Detached,1 Story,10,5,2008,2008,Hip,Standard Composite Shingle,5,3,Poured Concrete,5,3,1767,3094,GasA,5,Yes,2402,0,2402,Attached,2008,3,672,3,0,72,None,555000
92,12108,Duplex,1 Story,4,4,1955,1955,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,133,1440,GasA,3,No,1440,0,1440,None,1955,0,0,0,0,0,None,118000
52,6240,Single Family Detached,1.5 Story,5,7,1930,1992,Gable,Standard Composite Shingle,3,3,Poured Concrete,3,3,0,1078,GasA,3,Yes,1128,445,1573,Detached,1930,2,360,3,0,0,None,162900
53,3922,Townhouse End Unit,1 Story,7,5,2006,2007,Gable,Standard Composite Shingle,4,3,Poured Concrete,5,3,0,1258,GasA,5,Yes,1258,0,1258,Attached,2007,3,648,3,144,16,None,172500
70,8750,Single Family Detached,2 Story,7,5,1994,1995,Gable,Standard Composite Shingle,4,4,Poured Concrete,4,3,642,915,GasA,5,Yes,933,975,1908,Attached,1994,2,493,3,144,133,None,210000
73,9855,Single Family Detached,1 Story,6,5,1956,1956,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,0,1436,GasA,2,Yes,1689,0,1689,Attached,1956,2,480,3,0,0,None,127500
137,16492,Single Family Detached,1 Story,6,6,1966,2002,Gable,Standard Composite Shingle,4,3,Cinder Block,3,3,247,1517,GasA,5,Yes,1888,0,1888,Attached,1966,2,578,3,0,0,None,190000
0,11214,Single Family Detached,2 Story,7,5,1998,1999,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,930,GasA,4,Yes,956,930,1886,Attached,1998,2,431,3,89,0,None,199900
50,8600,Single Family Detached,1.5 Story,6,6,1937,1950,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,3,0,780,GasA,3,Yes,780,596,1376,Detached,1937,1,198,3,0,0,None,119500
50,6000,Single Family Detached,1.5 Story,3,7,1948,2002,Gable,Standard Composite Shingle,3,4,Cinder Block,3,3,331,649,GasA,5,Yes,679,504,1183,Detached,1981,1,308,3,0,176,None,120000
70,5684,Single Family Detached,1 Story,6,8,1930,2005,Hip,Standard Composite Shingle,3,3,Brick & Tile,3,3,0,813,GasA,5,Yes,813,0,813,Detached,1932,1,270,2,0,113,None,110000
62,70761,Single Family Detached,1 Story,7,5,1975,1975,Gable,Wood Shingles,3,3,Cinder Block,4,3,655,1533,GasA,3,Yes,1533,0,1533,Attached,1975,2,576,3,200,54,None,280000
0,9303,Single Family Detached,2 Story,6,5,1996,1997,Hip,Standard Composite Shingle,4,3,Poured Concrete,5,3,742,872,GasA,5,Yes,888,868,1756,Attached,1996,2,422,3,144,122,None,204000
75,9000,Single Family Detached,2 Story,8,5,2008,2008,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,768,GasA,5,Yes,786,804,1590,Attached,2008,2,676,3,0,30,None,210000
63,9297,Duplex,1 Story,5,5,1976,1976,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,1606,1728,GasA,3,Yes,1728,0,1728,Detached,1976,2,560,3,0,0,None,188000
80,9600,Single Family Detached,1 Story,7,6,1973,1973,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,916,1242,GasA,2,Yes,1242,0,1242,Attached,1973,2,528,3,0,0,None,175500
34,4571,Single Family Detached,2 Story,5,5,1916,1950,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,3,0,624,GasA,2,No,624,720,1344,Detached,1916,3,513,2,0,0,None,98000
0,53227,Single Family Detached,1 Story,4,6,1954,1994,Flat,Tar & Gravel,3,3,Cinder Block,4,3,1116,1364,GasA,5,Yes,1663,0,1663,Attached,1954,2,529,3,224,137,None,256000
0,5100,Single Family Detached,2 Story,8,7,1925,1996,Hip,Standard Composite Shingle,3,4,Poured Concrete,3,3,0,588,GasA,2,Yes,833,833,1666,Detached,1925,1,228,3,192,63,None,161000
0,7015,Single Family Detached,1.5 Story,5,4,1950,1950,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,185,709,GasA,3,Yes,979,224,1203,Detached,1950,1,352,3,0,0,None,110000
75,8004,Single Family Detached,2 Story,8,5,2009,2009,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,544,832,GasA,5,Yes,832,1103,1935,Built-In,2009,2,552,3,0,150,None,263435
60,7200,Single Family Detached,2 Story,7,9,1936,2007,Gable,Standard Composite Shingle,4,4,Poured Concrete,4,4,350,560,GasA,5,Yes,575,560,1135,Detached,1971,2,576,3,256,0,None,155000
60,8281,Single Family Detached,1 Story,5,5,1965,1965,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,553,864,GasA,4,Yes,864,0,864,Detached,1965,1,360,3,0,0,None,62383
74,11988,Single Family Detached,2 Story,6,7,1934,1995,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,326,715,GasA,2,Yes,849,811,1660,Detached,1939,1,240,3,0,0,None,188700
60,8430,Single Family Detached,1 Story,5,5,1978,1978,Gable,Standard Composite Shingle,3,3,Cinder Block,4,3,616,1040,GasA,3,Yes,1040,0,1040,None,1978,0,0,0,0,0,None,124000
0,3072,Townhouse End Unit,1 Story,7,5,2004,2004,Hip,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,1375,GasA,5,Yes,1414,0,1414,Attached,2004,2,398,3,144,20,None,178740
85,10628,Single Family Detached,1 Story,7,5,1970,1970,Flat,Tar & Gravel,3,4,Cinder Block,3,4,778,1277,GasA,3,Yes,1277,0,1277,Attached,1970,2,526,3,0,0,None,167000
79,9480,Single Family Detached,2 Story,5,7,1942,1995,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,386,728,GasA,5,Yes,888,756,1644,Attached,1942,1,312,3,168,0,None,146500
98,11428,Single Family Detached,1 Story,8,5,2006,2006,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,1626,GasA,5,Yes,1634,0,1634,Attached,2006,3,866,3,0,44,None,250000
76,9291,Single Family Detached,2 Story,6,5,1993,1993,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,426,832,GasA,5,Yes,832,878,1710,Attached,1993,2,506,3,144,70,None,187000
0,6820,Townhouse End Unit,1 Story,8,5,1985,1985,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,368,1488,GasA,3,Yes,1502,0,1502,Attached,1985,2,528,3,0,54,None,212000
92,11952,Single Family Detached,2 Story,7,6,1977,1977,Mansard,Wood Shakes,3,3,Cinder Block,4,3,0,808,GasA,3,Yes,1161,808,1969,Attached,1977,2,534,3,0,0,None,190000
35,3675,Townhouse End Unit,Split Level,6,5,2005,2005,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,459,547,GasA,5,Yes,1072,0,1072,Basement Garage,2005,2,525,3,0,28,None,148000
110,14977,Single Family Detached,1 Story,8,5,2006,2007,Gable,Standard Composite Shingle,4,3,Poured Concrete,5,3,1350,1976,GasA,5,Yes,1976,0,1976,Attached,2006,3,908,3,250,63,None,440000
41,5330,Townhouse End Unit,1 Story,8,5,2000,2000,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,1196,1494,GasA,5,Yes,1652,0,1652,Attached,2000,2,499,3,96,48,None,251000
80,8480,Single Family Detached,1 Story,5,6,1963,1963,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,630,970,GasA,3,Yes,970,0,970,Detached,1996,2,624,3,0,24,None,132500
75,13125,Single Family Detached,1 Story,6,5,1997,1998,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,994,1478,GasA,5,Yes,1493,0,1493,Attached,1997,2,508,3,140,39,None,208900
105,13693,Single Family Detached,2 Story,9,5,2006,2006,Hip,Standard Composite Shingle,5,3,Poured Concrete,4,3,0,2153,GasA,5,Yes,2069,574,2643,Built-In,2006,3,694,3,414,84,None,380000
79,10637,Single Family Detached,1 Story,8,5,2007,2008,Hip,Standard Composite Shingle,4,3,Poured Concrete,5,3,1288,1705,GasA,5,Yes,1718,0,1718,Attached,2007,3,826,3,208,44,None,297000
50,5925,Single Family Detached,1 Story,4,7,1937,2000,Hip,Standard Composite Shingle,3,3,Brick & Tile,2,3,168,907,GasA,3,Yes,1131,0,1131,Detached,1995,2,672,3,0,72,None,89471
98,16033,Single Family Detached,1 Story,9,5,2004,2005,Hip,Standard Composite Shingle,4,3,Poured Concrete,5,3,1261,1833,GasA,5,Yes,1850,0,1850,Attached,2004,3,772,3,519,112,None,326000
72,11846,Single Family Detached,1 Story,9,5,2003,2004,Hip,Standard Composite Shingle,4,3,Poured Concrete,5,3,1567,1792,GasA,5,Yes,1792,0,1792,Attached,2003,3,874,3,206,49,None,374000
50,2500,Single Family Detached,2 Story,7,8,1915,2005,Gable,Standard Composite Shingle,4,3,Poured Concrete,3,3,299,910,GasA,5,Yes,916,910,1826,Attached,1915,1,164,2,0,0,None,155000
32,4500,Townhouse,1 Story,6,5,1998,1998,Hip,Standard Composite Shingle,3,3,Poured Concrete,5,3,897,1216,GasA,5,Yes,1216,0,1216,Attached,1998,2,402,3,0,125,None,164000
0,7758,Single Family Detached,1 Story,5,7,1962,2001,Gable,Standard Composite Shingle,3,4,Cinder Block,3,3,588,999,GasA,4,Yes,999,0,999,Detached,1963,1,264,3,0,132,None,132500
80,9600,Single Family Detached,1 Story,5,7,1950,2007,Gable,Standard Composite Shingle,4,3,Cinder Block,3,3,607,1113,GasA,4,Yes,1113,0,1113,Attached,1950,1,264,3,0,80,None,147000
79,10289,Single Family Detached,1 Story,5,7,1965,1965,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,836,1073,GasA,3,Yes,1073,0,1073,Attached,1965,2,515,3,0,0,None,156000
70,12243,Single Family Detached,1 Story,5,6,1971,1971,Gable,Standard Composite Shingle,3,3,Cinder Block,4,3,998,1484,GasA,4,Yes,1484,0,1484,Attached,1971,2,487,3,224,0,None,175000
60,10800,Two Family Conversion,1.5 Story,5,4,1900,1970,Gable,Standard Composite Shingle,3,2,Cinder Block,3,2,664,954,GasA,3,No,1766,648,2414,Attached,1970,2,520,3,142,0,None,160000
21,1526,Townhouse,Split Foyer,4,8,1970,2002,Gable,Standard Composite Shingle,3,4,Cinder Block,4,3,515,630,GasA,3,Yes,630,0,630,Attached,1970,1,286,3,0,0,None,86000
0,2665,Townhouse End Unit,2 Story,5,6,1976,1976,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,0,264,GasA,3,Yes,616,688,1304,Built-In,1976,1,336,3,141,24,None,115000
79,9490,Single Family Detached,1.5 Story,6,7,1941,1950,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,403,806,GasA,3,Yes,958,620,1578,Attached,1941,1,240,3,0,0,None,133000
105,15578,Single Family Detached,2 Story,6,5,2006,2006,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,728,GasA,4,Yes,728,728,1456,Attached,2006,2,429,3,0,0,None,172785
70,7931,Single Family Detached,1 Story,5,6,1960,1960,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,374,1269,GasA,3,Yes,1269,0,1269,Detached,1964,1,308,3,0,0,None,155000
50,5784,Single Family Detached,1 Story,5,8,1938,1996,Gable,Standard Composite Shingle,3,3,Brick & Tile,2,3,0,190,GasA,4,Yes,886,0,886,Attached,1938,1,273,3,144,20,None,91300
60,7879,Single Family Detached,1 Story,4,5,1920,1950,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,495,720,GasA,3,No,720,0,720,None,1920,0,0,0,0,523,None,34900
0,12692,Single Family Detached,1 Story,8,5,1992,1993,Hip,Standard Composite Shingle,4,3,Poured Concrete,4,3,1231,3200,GasA,5,Yes,3228,0,3228,Attached,1992,2,546,3,264,75,None,430000
60,9120,Single Family Detached,1.5 Story,7,6,1925,1950,Gable,Standard Composite Shingle,3,4,Poured Concrete,3,3,329,1026,GasA,5,Yes,1133,687,1820,Detached,1925,1,240,3,0,100,None,184000
65,7800,Single Family Detached,1 Story,5,7,1967,2004,Hip,Standard Composite Shingle,3,3,Poured Concrete,3,3,450,864,GasA,5,Yes,899,0,899,Attached,1967,1,288,3,64,0,None,130000
70,7535,Single Family Detached,1 Story,5,7,1958,1985,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,111,912,GasA,2,Yes,912,0,912,Attached,1958,1,297,3,12,285,Shed,120000
21,1890,Townhouse,2 Story,6,5,1973,1973,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,356,672,GasA,3,Yes,672,546,1218,Detached,1973,1,264,3,144,28,None,113000
75,9803,Single Family Detached,2 Story,7,5,2005,2005,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,400,866,GasA,4,Yes,866,902,1768,Attached,2005,2,603,3,0,108,None,226700
70,9170,Single Family Detached,1 Story,5,7,1965,1965,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,698,1214,GasA,5,Yes,1214,0,1214,Detached,1965,2,461,2,0,0,Shed,140000
100,15602,Single Family Detached,1 Story,7,8,1959,1997,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,1247,1501,GasA,3,Yes,1801,0,1801,Attached,1959,2,484,3,0,54,None,289000
24,2308,Townhouse End Unit,2 Story,6,5,1974,1974,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,257,855,GasA,3,Yes,855,467,1322,Attached,1974,2,440,3,260,0,None,147000
60,7596,Duplex,2 Story,5,5,1952,1952,Hip,Standard Composite Shingle,3,3,Cinder Block,3,3,0,960,GasA,4,Yes,960,1000,1960,Detached,1952,2,400,3,0,0,None,124500
80,9554,Single Family Detached,2 Story,8,5,1993,1994,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,380,777,GasA,5,Yes,1065,846,1911,Attached,1993,2,471,3,182,81,None,215000
75,7862,Single Family Detached,1 Story,6,5,2009,2009,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,27,1218,GasA,5,Yes,1218,0,1218,Attached,2009,2,676,3,0,102,None,208300
60,9600,Single Family Detached,2 Story,7,9,1928,2005,Gambrel,Standard Composite Shingle,3,5,Brick & Tile,3,3,141,689,GasA,5,Yes,689,689,1378,Detached,1928,2,360,3,0,0,None,161000
80,9600,Single Family Detached,1 Story,5,6,1959,1959,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,991,1041,GasA,5,Yes,1041,0,1041,Attached,1959,1,270,3,224,88,None,124500
75,14559,Single Family Detached,1 Story,5,7,1951,2000,Hip,Standard Composite Shingle,4,3,Cinder Block,3,3,650,1008,GasA,5,Yes,1363,0,1363,Car Port,1951,1,288,3,324,42,Shed,164900
40,6792,Townhouse End Unit,1 Story,7,5,2005,2006,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,1368,GasA,5,Yes,1368,0,1368,Attached,2005,2,474,3,132,35,None,202665
70,9100,Single Family Detached,1 Story,5,5,1958,1958,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,521,864,GasA,3,Yes,864,0,864,Detached,1964,2,624,3,0,0,None,129900
71,9187,Single Family Detached,1 Story,6,5,1983,1983,Gable,Standard Composite Shingle,3,4,Poured Concrete,3,3,336,1084,GasA,3,Yes,1080,0,1080,Attached,1983,2,484,3,120,0,None,134000
55,10594,Single Family Detached,1.5 Story,5,5,1926,1950,Gable,Standard Composite Shingle,3,3,Brick & Tile,3,3,0,768,Grav,2,No,789,0,789,Detached,1926,1,200,1,0,0,None,96500
94,12220,Single Family Detached,1 Story,10,5,2009,2009,Hip,Standard Composite Shingle,5,3,Cinder Block,5,3,1436,2006,GasA,5,Yes,2020,0,2020,Attached,2009,3,900,3,156,54,None,402861
0,10448,Single Family Detached,Split Level,6,6,1972,1972,Gable,Standard Composite Shingle,3,3,Cinder Block,3,3,0,689,GasA,3,Yes,1378,741,2119,Attached,1972,2,583,3,0,104,None,158000
79,10208,Single Family Detached,2 Story,7,5,1996,1997,Gable,Standard Composite Shingle,4,3,Poured Concrete,4,3,0,1264,GasA,5,Yes,1277,1067,2344,Attached,1996,3,889,3,220,0,None,265000
0,9531,Single Family Detached,2 Story,6,5,1998,1998,Gable,Standard Composite Shingle,3,3,Poured Concrete,4,3,706,794,GasA,5,Yes,882,914,1796,Attached,1998,2,546,3,0,36,None,211000
